Sl. No,Course Name,State,Name and Address of Medical College/Medical Institution,University Name,Management of College,Year of Inspection of College,Annual Intake (Seats),Status of MCI Recognition,Date of LOP
1,MBBS,Andaman Nicobar Islands,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",Pondicherry University,Govt.,2015,114,Recognized for 100 seats only with respect to students admitted in 2015-16. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,08-06-2015
2,MBBS,Andhra Pradesh,ACSR Government Medical College Nellore,Dr. YSR University of Health Sciences,Govt.,2014,175,Recognized for 150 seats when granted on or after February 2019. Permitted for increase of seats from 150 to 175 under EWS quota (103rd constitution amendment) for 2019-20.,15-07-2014
3,MBBS,Andhra Pradesh,"All India Institute of Medical Sciences, Mangalagiri, Vijayawada","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2018,125,"Other  by MOH&FW,GOI.",N/A
4,MBBS,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,250,"Recognized for the award of MBBS degree to 150 students annually when degree granted on or after 2019, Permitted for increase of seats 150 to 250 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for 150 to 250 MBBS seats.",N/A
5,MBBS,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,250,Recognized for 200 seats annually when degree granted on or after 2017. Recognized for increase of seats from 150 to 200. Permitted for increase of seats from 200 to 250 under EWS quota (103rd constitution amendment) for 2019-20. COR granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
6,MBBS,Andhra Pradesh,"Apollo Institute of Medical Sciences and Research, Chittoor",Dr. YSR University of Health Sciences,Society,2016,150,Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,20-08-2016
7,MBBS,Andhra Pradesh,"Dr. P.S.I. Medical College , Chinoutpalli",Dr. YSR University of Health Sciences,Trust,2002,150,Recognized COR granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
8,MBBS,Andhra Pradesh,"Fathima Instt. of Medical Sciences,Kadapa",Dr. YSR University of Health Sciences,Trust,2010,100,Recognized  when degree granted on or after 2016. COR granted for one (01)year for 2022-23 only. Permitted for admission for 2023-24.,13-07-2010
9,MBBS,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,200,"Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Permission to increase from 150 to 200 MBBS seats have been given during A/Y 2023-2024. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24. Granted recognition of MBBS degree (150 seats) when awarded on or after December, 2022 for 05 years vide NMC letter dated 4/7/2023",20-08-2016
10,MBBS,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,150,"Other granted renewal of permission u/s 10(A) for 2019-20. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22 granted renewal of permission for annual intake of 150 MBBS seats for the year 2021-22. Recognition of MBBS degree for 150 seats granted for five (05) years when degree granted upto December, 2027.",03-06-2015
11,MBBS,Andhra Pradesh,"Government Medical College, Ananthapuram",Dr. YSR University of Health Sciences,Govt.,2000,150,"Recognized for 100 seats when degree awarded in 2006. Permitted for increase of seats from 100 to 150 in 2019-20. Continuation of recognition granted on 04.04.2018 (after CVA Verification ) for award of degree to 100 seats. Renewal of permission to admit 150 seats granted till 2021-'22, Recognized for 100 seats when degree awarded in 2006. Permitted for increase of seats from 100 to 150 in 2019-20. Continuation of recognition granted on 04.04.2018 (after CVA Verification ) for award of degree to 100 seats. Renewal of permission to admit 150 seats granted till 2021-22. Permitted for Renewal of 100-150 seats for the academic year 2022-23. Permitted for (4th renewal) 5th batch for the Academic Year 2023 -2024.COR granted for one (01)year for 2022-23 only. Permitted for admission for 2023-24.",27-11-2000
12,MBBS,Andhra Pradesh,"Government Medical College, Eluru",Dr. YSR University of Health Sciences,Govt.,2023,150,"Permitted u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024.",04-05-2023
13,MBBS,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,175,"Recognized for 150 seats when degree granted on or after March 2011. Permitted for increase of seats from 150 to 175 under EWS quota (103rd constitution amendment) for 2019-20. continuation of recognition granted for annual intake of 150 MBBS seats for the batches admitted upto 2016-17, when degree granted in 2021-22. granted renewal of permission for annual intake of 150 MBBS seats for the year 2021-22.",05-07-2006
14,MBBS,Andhra Pradesh,"Government Medical College, Machilipatnam",Dr. YSR University of Health Sciences,Govt.,2023,150,"Permitted u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024.",N/A
15,MBBS,Andhra Pradesh,"Government Medical College, Nandyal",Dr. YSR University of Health Sciences,Govt.,2023,150,"Permitted  u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024.",04-05-2023
16,MBBS,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,120,"Recognized for 100 seats when degree granted on or after February,2016. Permitted for increase of seats from 100 to 120 under EWS quota (103rd constitution amendment) for 2019-20. COR granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",30-06-2011
